file_path,pdf_folder,umap_x,umap_y
../Data/images\FS13\page_004.png,FS13,3.7264822,-12.086168
../Data/images\FS13\page_005.png,FS13,3.8918002,-12.3716545
../Data/images\FS13\page_006.png,FS13,13.682319,-13.534271
../Data/images\FS13\page_007.png,FS13,14.106209,-13.878493
../Data/images\FS13\page_008.png,FS13,15.112406,-13.118314
../Data/images\FS13\page_009.png,FS13,13.654164,-13.455056
../Data/images\FS13\page_010.png,FS13,11.757857,-11.8934765
../Data/images\FS13\page_011.png,FS13,5.8642364,-9.182047
../Data/images\FS13\page_012.png,FS13,4.0106654,-9.271704
../Data/images\FS13\page_013.png,FS13,4.3336897,-8.983306
../Data/images\FS13\page_014.png,FS13,5.2589636,-8.87935
../Data/images\FS13\page_015.png,FS13,10.32717,-11.526824
../Data/images\FS13\page_016.png,FS13,4.965845,-10.5690565
../Data/images\FS13\page_017.png,FS13,4.7720056,-10.305919
../Data/images\FS13\page_018.png,FS13,6.0821133,-9.314398
../Data/images\FS13\page_019.png,FS13,4.999566,-10.40405
../Data/images\FS13\page_020.png,FS13,5.7114186,-10.242017
../Data/images\FS13\page_021.png,FS13,5.669712,-9.76065
../Data/images\FS13\page_022.png,FS13,6.199688,-9.12396
../Data/images\FS13\page_023.png,FS13,13.947606,-11.696851
../Data/images\FS13\page_024.png,FS13,10.420202,-13.398737
../Data/images\FS13\page_025.png,FS13,10.480971,-13.320266
../Data/images\FS13\page_026.png,FS13,10.490928,-11.947231
../Data/images\FS13\page_027.png,FS13,10.90493,-12.913647
../Data/images\FS13\page_028.png,FS13,11.158304,-11.358764
../Data/images\FS13\page_029.png,FS13,9.1596985,-12.629185
../Data/images\FS13\page_030.png,FS13,12.718582,-11.663963
../Data/images\FS13\page_031.png,FS13,10.800873,-11.066189
../Data/images\FS13\page_032.png,FS13,10.390214,-12.816191
../Data/images\FS13\page_033.png,FS13,11.012395,-13.220933
../Data/images\FS13\page_034.png,FS13,10.462411,-12.392415
../Data/images\FS13\page_035.png,FS13,9.261856,-12.5186615
../Data/images\FS13\page_036.png,FS13,6.2719154,-9.952817
../Data/images\FS13\page_037.png,FS13,13.175605,-11.301029
../Data/images\FS13\page_038.png,FS13,6.144889,-9.810197
../Data/images\FS13\page_039.png,FS13,3.1579967,-14.738735
../Data/images\FS14\page_001.png,FS14,3.2063475,-15.019775
../Data/images\FS14\page_002.png,FS14,1.5811684,-16.104115
../Data/images\FS14\page_003.png,FS14,4.7516036,-11.900601
../Data/images\FS14\page_004.png,FS14,5.217134,-12.720564
../Data/images\FS14\page_005.png,FS14,4.081435,-10.1857815
../Data/images\FS14\page_006.png,FS14,4.6460695,-12.570215
../Data/images\FS14\page_007.png,FS14,12.623977,-12.50366
../Data/images\FS14\page_008.png,FS14,12.65121,-13.461223
../Data/images\FS14\page_009.png,FS14,15.032898,-13.098202
../Data/images\FS14\page_010.png,FS14,13.580854,-13.87287
../Data/images\FS14\page_011.png,FS14,2.982472,-10.365468
../Data/images\FS14\page_012.png,FS14,3.556394,-11.391964
../Data/images\FS14\page_013.png,FS14,3.5413015,-11.977293
../Data/images\FS14\page_014.png,FS14,3.4985924,-11.959272
../Data/images\FS14\page_015.png,FS14,3.7797651,-12.086998
../Data/images\FS14\page_016.png,FS14,3.514924,-11.89232
../Data/images\FS14\page_017.png,FS14,3.4690907,-11.914287
../Data/images\FS14\page_018.png,FS14,3.4166722,-11.81567
../Data/images\FS14\page_019.png,FS14,3.4517288,-11.918468
../Data/images\FS14\page_020.png,FS14,3.5563188,-12.019062
../Data/images\FS14\page_021.png,FS14,3.7518759,-11.606361
../Data/images\FS14\page_022.png,FS14,3.1751344,-10.406268
../Data/images\FS14\page_023.png,FS14,15.125603,-13.022045
../Data/images\FS14\page_024.png,FS14,12.583395,-14.108965
../Data/images\FS14\page_025.png,FS14,12.187458,-13.892242
../Data/images\FS14\page_026.png,FS14,12.005545,-13.897258
../Data/images\FS14\page_027.png,FS14,12.218442,-14.028532
../Data/images\FS14\page_028.png,FS14,12.239212,-14.180375
../Data/images\FS14\page_029.png,FS14,12.077894,-13.942091
../Data/images\FS14\page_030.png,FS14,3.3753853,-11.525646
../Data/images\FS14\page_031.png,FS14,12.121168,-14.083231
../Data/images\FS14\page_032.png,FS14,12.184506,-13.297929
../Data/images\FS14\page_033.png,FS14,12.098355,-13.974428
../Data/images\FS14\page_034.png,FS14,4.1364393,-10.67169
